cloudlet_id,vm_id,host_id,status,start_time_s,finish_time_s,execution_time_s,waiting_time_s,allocated_cost_usd
0,0,0,SUCCESS,0.104800,40.262857,40.158057,0.000000,2.162461
1,1,0,SUCCESS,0.104800,42.886667,42.781867,0.000000,2.170494
2,2,0,SUCCESS,0.104800,45.624167,45.519367,0.000000,2.174428
3,0,0,SUCCESS,0.104800,44.326667,44.221867,0.000000,2.381293
4,1,0,SUCCESS,0.104800,46.883333,46.778533,0.000000,2.373260
5,2,0,SUCCESS,0.104800,49.704167,49.599367,0.000000,2.369326
6,3,0,SUCCESS,0.104800,56.062857,55.958057,0.000000,6.297072
7,4,1,SUCCESS,0.104800,39.659524,39.554724,0.000000,6.690633
8,5,1,SUCCESS,0.104800,41.952857,41.848057,0.000000,6.705657
9,3,0,SUCCESS,0.104800,62.960000,62.855200,0.000000,7.073221
10,4,1,SUCCESS,0.104800,43.106667,43.001867,0.000000,7.273713
11,5,1,SUCCESS,0.104800,45.404167,45.299367,0.000000,7.258689
12,3,0,SUCCESS,0.104800,66.429286,66.324486,0.000000,7.463626
13,6,2,SUCCESS,0.104800,65.208750,65.103950,0.000000,10.280389
14,7,2,SUCCESS,0.104800,45.294167,45.189367,0.000000,16.008745
15,8,3,SUCCESS,0.104800,47.213333,47.108533,0.000000,13.067090
16,6,2,SUCCESS,0.104800,70.797500,70.692700,0.000000,11.162893
17,7,2,SUCCESS,0.104800,48.157917,48.053117,0.000000,17.023254
18,8,3,SUCCESS,0.104800,50.036667,49.931867,0.000000,13.850234
19,6,2,SUCCESS,0.104800,73.494167,73.389367,0.000000,11.588717
