CloudletId,VMId,HostId,StartTime,FinishTime,ExecutionTime,Cost,Status
19,3,3,١٥٠٫١٠,٢٧٢٫٦٧,١٢٢٫٥٧,٣٣٫٣٣,SUCCESS
18,2,2,١٥٠٫١٠,٧٠٠٫٧٧,٥٥٠٫٦٧,١٤٩٫٧٠,SUCCESS
17,1,3,١٥٠٫١٠,٦٧٩٫٤٣,٥٢٩٫٣٣,١٤٣٫٨٤,SUCCESS
16,0,3,١٥٠٫١٠,٦٥٨٫١٠,٥٠٨٫٠٠,١٣٧٫٩٨,SUCCESS
15,7,3,١٥٠٫١٠,١٧٧٫١٠,٢٧٫٠٠,٧٫٣٣,SUCCESS
14,6,3,١٥٠٫١٠,١٧٥٫٩٥,٢٥٫٨٥,٧٫٠١,SUCCESS
13,5,1,١٥٠٫١٠,٢٣٠٫١٠,٨٠٫٠٠,٢١٫٧٠,SUCCESS
12,4,2,١٥٠٫١٠,١٨٠٫٩٦,٣٠٫٨٦,٧٫١٨,SUCCESS
11,3,3,١٥٠٫١٠,٢٢٨٫١٠,٧٨٫٠٠,١٨٫١٥,SUCCESS
10,2,2,١٥٠٫١٠,٤٩٦٫٧٦,٣٤٦٫٦٦,٨٠٫٦٢,SUCCESS
9,1,3,١٥٠٫١٠,٤٧٩٫٤٣,٣٢٩٫٣٣,٧٦٫٥٥,SUCCESS
8,0,3,١٥٠٫١٠,٤٦٢٫١٠,٣١٢٫٠٠,٧٢٫٤٨,SUCCESS
7,7,3,١٥٠٫١٠,١٦٦٫٠٢,١٥٫٩٢,٣٫٧٠,SUCCESS
6,6,3,١٥٠٫١٠,١٦٥٫١٠,١٥٫٠٠,٣٫٤٨,SUCCESS
5,5,1,١٥٠٫١٠,١٧٨٫٦٧,٢٨٫٥٧,٦٫٠٨,SUCCESS
4,4,2,١٥٠٫١٠,١٦٦٫٣٨,١٦٫٢٨,٣٫٤٦,SUCCESS
3,3,3,١٥٠٫١٠,١٨٦٫١٠,٣٦٫٠٠,٧٫٦٥,SUCCESS
2,2,2,١٥٠٫١٠,٣٠٨٫٧٦,١٥٨٫٦٦,٣٣٫٧١,SUCCESS
1,1,3,١٥٠٫١٠,٢٩٩٫٤٢,١٤٩٫٣٢,٣١٫٧١,SUCCESS
0,0,3,١٥٠٫١٠,٢٩٠٫٠٩,١٣٩٫٩٩,٢٩٫٧١,SUCCESS
