CloudletId,VMId,HostId,StartTime,FinishTime,ExecutionTime,Cost,Status
2,22,2,١٠٠٫١٠,١٠٨٫٦٠,٨٫٥٠,٢٫٢٦,SUCCESS
0,20,2,١٠٠٫١٠,١١٣٫٢٢,١٣٫١٢,٣٫٤٨,SUCCESS
1,21,2,١٠٠٫١٠,١١٤٫١٠,١٤٫٠٠,٣٫٧١,SUCCESS
11,22,2,١٠٠٫١٠,١٢١٫٦٠,٢١٫٥٠,٦٫٠٤,SUCCESS
3,10,2,١٠٠٫١٠,١٢٧٫١٠,٢٧٫٠٠,٧٫١٦,SUCCESS
4,11,2,١٠٠٫١٠,١٢٨٫٦٠,٢٨٫٥٠,٧٫٥٦,SUCCESS
9,20,2,١٠٠٫١٠,١٣١٫٢٢,٣١٫١٢,٨٫٧٤,SUCCESS
10,21,2,١٠٠٫١٠,١٣٢٫٨٥,٣٢٫٧٥,٩٫١٩,SUCCESS
18,20,2,١٠٠٫١٠,١٤٧٫٧٢,٤٧٫٦٢,١٤٫٨٣,SUCCESS
19,21,2,١٠٠٫١٠,١٤٩٫٨٥,٤٩٫٧٥,١٥٫٤٩,SUCCESS
5,12,2,١٠٠٫١٠,١٥٠٫١٠,٥٠٫٠٠,١٣٫٢٧,SUCCESS
12,10,2,١٠٠٫١٠,١٥٤٫١٠,٥٤٫٠٠,١٥٫١٦,SUCCESS
13,11,2,١٠٠٫١٠,١٥٦٫٦٠,٥٦٫٥٠,١٥٫٨٦,SUCCESS
14,12,2,١٠٠٫١٠,٢٣٠٫١٠,١٣٠٫٠٠,٤٠٫٤٩,SUCCESS
6,0,2,١٠٠٫١٠,٣١٠٫١٠,٢١٠٫٠٠,٥٥٫٧٣,SUCCESS
7,1,2,١٠٠٫١٠,٥٢٠٫١٠,٤٢٠٫٠٠,١١٧٫٩٠,SUCCESS
8,2,2,١٠٠٫١٠,٥٤٤٫١٠,٤٤٤٫٠٠,١٢٤٫٦٤,SUCCESS
15,0,2,١٠٠٫١٠,٦٤٦٫١٠,٥٤٦٫٠٠,١٧٠٫٠٥,SUCCESS
16,1,2,١٠٠٫١٠,٧٦٨٫١٠,٦٦٨٫٠٠,٢٠٨٫٠٤,SUCCESS
17,2,2,١٠٠٫١٠,٨٠٠٫١٠,٧٠٠٫٠٠,٢١٨٫٠١,SUCCESS
